supplier_num,products,sku,batch_number,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
263,Saisonella,693234,,,8.75E+11,0.19,1,1,0.04,0.3,0.8,0.8,0,0,Beer,Draught,f
263,Awesome Ale,736702,,,8,6.5,1,12,0.04,0,0.05,0.05,0,0,Beer,Bc,t
263,Brewing Pilsner Tall Can,754622,,,8.75E+11,0,1,1,0.04,0,0,0,0,0,Beer,Packaged,t
263,Awesome Ipa,76398,,,0,6.5,1,12,0.05,0.1,0.04,0.04,0,0,Beer,Packaged,f
263,Awesome Pilsner,76398,X,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Centennial Ipa,776245,,,8.75E+11,0,1,12,0.06,0,0.05,0.05,0,0,Beer,Packaged,f
263,FalconerS Ipa,776245,F,,8,0,1,12,0.06,0,0.05,0.05,0,0,Beer,Bc,f
263,Brewing  Ipa,783340,,,8,0,1,12,0.06,0,0.04,0.04,0,0,Beer,Bc,t
263,Sevens Ipa,786004,,,0,6.5,1,12,0.05,0.1,0.06,0.06,0,0,Beer,Packaged,f
263,Brewing Glassbender Saison,78733,,,8.75E+11,0.5,1,1,0.05,0.3,1.7,1.7,0,0,Beer,Draught,t
263, Saison Francaise,787978,SF,,0,6.5,1,12,0.05,0.1,0.05,0.05,0,0,Beer,Packaged,f
263,Alt,789263,,,8.75E+11,0.19,1,1,0.04,0.3,0.7,0.7,0,0,Beer,Draught,t
263,Brewing Pilsner Growler,790253,,,8.75E+11,0.01,1,1,0.04,0,0,0,0,0,Beer,Packaged,t
263,Blonde Can Flat,792671,,,8,0,6,24,0.04,0,0.09,0.09,0,0,Beer,Bc,f
263,Stout Tall Can,793190,,,8.75E+11,0,1,1,0.04,0,0,0,0,0,Beer,Packaged,t
263,Bisa,793521,,,8.75E+11,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Packaged,t
263,Stout,796128,,,8.75E+11,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Packaged,t
263,Isa Can Flat,796748,,,0,3.55,6,24,0.05,0,0.09,0.09,0,0,Beer,Columbia,f
263,Nut Brown Bottle,833756,,,8.75E+11,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Packaged,t
263,Butternut Squash Brown,84509,,,8.75E+11,0.5,1,1,0.04,0.3,1.7,1.7,0,0,Beer,Draught,f
263,Brewing  Bisa,85944,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Raspberry Ale,860296,,,8,0.5,1,1,0.04,0.3,1.9,1.9,0,0,Beer,Bc,f
263,West Coast Pale Ale,87999,,,8,0.5,1,1,0.04,0.3,1.7,1.7,0,0,Beer,Bc,f
263,Saisonella,880989,,,8.75E+11,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Packaged,t
263,Table Saison,880989,S,,0,6.5,1,12,0.05,0.01,0.05,0.05,0,0,Beer,Packaged,f
263,West Coast Pale Ale,885558,,,8,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Bc,f
263,Pilsner,889261,,,8.75E+11,0.5,1,1,0.04,0.3,1.65,1.65,0,0,Beer,Draught,f
263,Belgian Wit,895300,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Spruce Tip Saison,965467,SP,,0,0.5,1,1,0.04,0.3,1.75,1.75,0,0,Beer,Columbia,f
263,Summer Saison,988410,SS,,0,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Draught,f
