product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
Syrah 2012,417287,B,,0,7.5,1,12,0.13,0.1,0.21,0.2,0,0,Wine,Canada,f
Old Vines Chenin Blanc 2014,450890,,,626990062745,0,1,12,0.12,0,0.21,0.21,0,0,Wine,Canada,f
5th Element 2011,45922,,,626990081302,0,1,6,0.14,0,0.42,0.42,0,0,Wine,Canada,f
Notable Blend Red,468652,,,626990217244,0,1,12,0.14,0,0.14,0.14,0,0,Wine,Canada,t
Golden Mile  Fifth Element White 2006,479592,,,626990062684,0,1,6,0.13,0,0.2,0.2,0,0,Wine,Canada,t
Golden Mile  Pinot Noir Black Arts 2006,492017,,,626990053422,0,1,12,0.13,0,0.29,0.29,0,0,Wine,Canada,t
Golden Mile  Pinot Noir 2005,492108,,,626990053415,0,1,12,0.13,0,0.25,0.25,0,0,Wine,Canada,t
Golden Mile  Chardonnay 2005,492447,,,626990053392,0,1,12,0.14,0,0.2,0.2,0,0,Wine,Canada,t
Golden Mile  Zinfandel 2005,492546,,,626990053385,0,1,12,0.14,0,0.3,0.3,0,0,Wine,Canada,t
Golden Mile  Syrah Black Arts 2006,492637,,,626990053378,0,1,12,0.14,0,0.35,0.35,0,0,Wine,Canada,t
Golden Mile  Cabernet Sauvignon 2004,493312,,,626990038207,0,1,12,0.14,0,0.25,0.25,0,0,Wine,Canada,t
Home Vineyard Riesling,503128,,,626990105312,0,1,12,0.12,0,0.18,0.18,0,0,Wine,Canada,t
Castle Vineyard Pinot Noir  2012,508671,,,626990105381,0,1,12,0.13,0,0.44,0.44,0,0,Wine,Canada,f
